word1,word2,sim,dataset
solve,lend,1.66,simverb
guess,jump,0.83,simverb
excel,loosen,1.49,simverb
dare,acknowledge,1.99,simverb
choke,succeed,0.0,simverb
recruit,stretch,1.33,simverb
bend,decide,0.33,simverb
blur,rush,2.49,simverb
dissolve,adore,0.0,simverb
attend,lift,0.5,simverb
hope,drive,1.16,simverb
pour,awake,0.33,simverb
allow,blend,1.49,simverb
understand,burst,1.83,simverb
shake,collect,0.3,simverb
salute,perform,1.66,simverb
save,imitate,1.33,simverb
enjoy,wait,0.5,simverb
examine,reject,0.83,simverb
please,know,1.83,simverb
separate,snatch,1.66,simverb
flow,explain,2.16,simverb
engage,supply,0.66,simverb
promise,choose,1.49,simverb
scratch,repair,0.5,simverb
hurt,salute,0.0,simverb
live,lend,0.83,simverb
haul,stab,0.33,simverb
snatch,stop,0.5,simverb
connect,talk,3.65,simverb
purchase,wait,0.83,simverb
supply,hold,2.16,simverb
practice,debate,1.49,simverb
look,assault,0.66,simverb
mean,join,1.0,simverb
grasp,spray,1.0,simverb
unite,guess,0.17,simverb
catch,frustrate,0.83,simverb
decide,remove,1.33,simverb
happen,hide,1.16,simverb
overcome,keep,1.49,simverb
observe,vanish,0.5,simverb
discover,count,1.16,simverb
have,possess,8.63,simverb
possess,decorate,0.66,simverb
imitate,impersonate,8.47,simverb
capture,imitate,0.83,simverb
pass,serve,3.49,simverb
apply,exploit,0.66,simverb
return,apply,1.49,simverb
engage,involve,8.3,simverb
involve,include,8.13,simverb
include,engage,6.14,simverb
involve,speak,3.32,simverb
overcome,surpass,7.47,simverb
count,matter,4.15,simverb
count,drive,1.33,simverb
assume,adopt,4.32,simverb
adopt,wash,1.83,simverb
incline,dispose,1.49,simverb
release,discharge,6.64,simverb
discharge,free,5.98,simverb
discharge,roam,1.83,simverb
retire,fail,1.49,simverb
deal,manage,6.14,simverb
manage,slide,1.66,simverb
care,worry,6.31,simverb
care,mind,4.81,simverb
mind,worry,4.15,simverb
care,remain,1.0,simverb
bargain,settle,4.38,simverb
commit,dedicate,7.97,simverb
commit,devote,7.3,simverb
devote,dedicate,7.97,simverb
commit,explode,0.0,simverb
limit,reduce,6.14,simverb
allow,approve,5.81,simverb
permit,approve,6.97,simverb
approve,change,1.0,simverb
protest,release,1.16,simverb
river,water,49.0,men
station,subway,47.0,men
burn,flame,46.0,men
airplane,flight,46.0,men
shade,tree,45.0,men
shore,water,45.0,men
branch,twig,45.0,men
river,stream,45.0,men
pond,water,45.0,men
flood,water,44.0,men
fire,smoke,44.0,men
music,piano,44.0,men
child,mother,43.0,men
subway,train,43.0,men
bloom,blossom,43.0,men
frost,winter,43.0,men
port,ship,43.0,men
cold,winter,43.0,men
building,roof,43.0,men
jazz,music,43.0,men
fire,flame,43.0,men
dawn,sunrise,43.0,men
pool,swim,43.0,men
burn,fire,42.0,men
cold,frozen,42.0,men
paint,painting,42.0,men
evening,night,42.0,men
mother,pregnant,42.0,men
band,music,41.0,men
night,sleep,41.0,men
tree,twig,41.0,men
station,train,41.0,men
bath,wash,41.0,men
mural,painting,41.0,men
shopping,store,41.0,men
family,friend,40.0,men
dirty,wash,40.0,men
subway,underground,40.0,men
sand,shore,40.0,men
door,lock,40.0,men
daughter,mother,40.0,men
child,school,40.0,men
heart,love,40.0,men
nest,twig,40.0,men
happy,smile,40.0,men
door,wall,40.0,men
plant,seed,40.0,men
feel,happy,40.0,men
building,tall,40.0,men
bottle,glass,39.0,men
light,shade,39.0,men
floor,roof,39.0,men
marble,stone,39.0,men
happy,love,39.0,men
bright,light,39.0,men
kiss,love,39.0,men
cold,frost,39.0,men
city,town,39.0,men
blue,grey,39.0,men
hawk,nest,39.0,men
ceiling,roof,39.0,men
beard,face,39.0,men
crow,hawk,38.0,men
city,urban,38.0,men
spring,summer,38.0,men
ceiling,floor,38.0,men
grey,shade,38.0,men
beard,hair,38.0,men
ancient,ruin,38.0,men
face,tear,38.0,men
brown,green,38.0,men
dinner,evening,38.0,men
face,smile,38.0,men
stone,wall,38.0,men
mural,paint,38.0,men
roof,wall,38.0,men
dinner,lunch,37.0,men
costume,dress,37.0,men
brown,grey,37.0,men
paint,picture,37.0,men
child,family,37.0,men
summer,winter,37.0,men
plant,twig,37.0,men
concrete,floor,37.0,men
food,frozen,37.0,men
light,shadow,37.0,men
wash,water,37.0,men
music,rock,37.0,men
piano,play,37.0,men
band,play,37.0,men
grey,white,37.0,men
ceramic,tile,36.0,men
floor,marble,36.0,men
bear,mother,36.0,men
green,grey,36.0,men
door,room,36.0,men
spring,winter,36.0,men
ceiling,room,36.0,men
dawn,night,36.0,men
band,rock,36.0,men
blue,green,36.0,men
drip,water,36.0,men
door,window,36.0,men
bear,live,35.0,men
bath,room,35.0,men
shore,swim,35.0,men
cloud,misty,35.0,men
machine,wash,35.0,men
coffee,dinner,35.0,men
festival,music,35.0,men
blossom,tree,35.0,men
jazz,piano,35.0,men
bloom,plant,35.0,men
ceiling,wall,35.0,men
music,track,35.0,men
dinner,night,35.0,men
floor,room,34.0,men
evening,time,34.0,men
tall,tower,34.0,men
friend,happy,34.0,men
blossom,fruit,34.0,men
animal,wild,34.0,men
roof,tile,34.0,men
band,piano,33.0,men
bright,star,33.0,men
furniture,room,33.0,men
bright,dark,33.0,men
building,floor,33.0,men
arch,roof,33.0,men
game,match,33.0,men
ship,sink,33.0,men
evening,sleep,33.0,men
mural,work,32.0,men
iron,rusty,32.0,men
face,happy,32.0,men
city,live,32.0,men
abandon,ruin,32.0,men
brown,white,32.0,men
game,play,32.0,men
building,concrete,32.0,men
street,town,32.0,men
friend,love,32.0,men
ball,drop,31.0,men
hawk,wild,31.0,men
ceiling,window,31.0,men
dark,grey,31.0,men
blue,white,31.0,men
love,smile,31.0,men
fall,tear,31.0,men
food,fruit,31.0,men
ceramic,floor,31.0,men
dawn,misty,31.0,men
hand,stand,31.0,men
drip,wash,31.0,men
station,underground,30.0,men
fruit,sweet,30.0,men
feel,kiss,30.0,men
bloom,twig,30.0,men
cold,water,30.0,men
misty,sunrise,30.0,men
dark,shade,30.0,men
stop,time,30.0,men
band,uniform,30.0,men
friend,smile,30.0,men
foot,tall,30.0,men
match,play,30.0,men
couple,family,29.0,men
city,ruin,29.0,men
hill,path,29.0,men
dark,white,29.0,men
ancient,city,29.0,men
line,lunch,29.0,men
pool,relax,28.0,men
door,floor,28.0,men
feel,smile,28.0,men
flag,stripe,28.0,men
bear,daughter,28.0,men
arch,bridge,28.0,men
city,square,28.0,men
stand,walk,28.0,men
happy,tear,27.0,men
smile,tear,27.0,men
train,underground,27.0,men
pregnant,round,27.0,men
line,subway,27.0,men
dirty,rusty,27.0,men
band,metal,27.0,men
ruin,stone,27.0,men
fall,stop,27.0,men
match,round,27.0,men
dawn,spring,27.0,men
evening,walk,27.0,men
friend,lady,27.0,men
happy,kiss,26.0,men
flood,line,26.0,men
marble,wall,26.0,men
palace,ruin,26.0,men
frost,shade,26.0,men
grey,stripe,26.0,men
hill,horizon,26.0,men
hand,leave,26.0,men
bright,shade,26.0,men
festival,gate,26.0,men
green,shade,25.0,men
blue,stripe,25.0,men
family,live,25.0,men
craft,game,25.0,men
blue,bright,25.0,men
cold,misty,25.0,men
couple,live,25.0,men
hang,stand,25.0,men
blue,shade,25.0,men
garden,house,25.0,men
feel,tear,24.0,men
stripe,white,24.0,men
happy,time,24.0,men
line,street,24.0,men
drop,hang,24.0,men
nude,painting,24.0,men
dress,match,24.0,men
hill,town,24.0,men
shore,town,24.0,men
bench,game,24.0,men
evening,relax,24.0,men
frost,spring,24.0,men
dirty,hand,24.0,men
arch,wall,24.0,men
bath,floor,24.0,men
fire,sand,23.0,men
blue,dark,23.0,men
nail,rusty,23.0,men
ceiling,marble,23.0,men
card,party,23.0,men
cold,drip,23.0,men
hill,river,23.0,men
friend,night,23.0,men
coffee,lunch,23.0,men
craft,note,23.0,men
dirty,feel,23.0,men
ceiling,door,23.0,men
happy,home,23.0,men
rock,track,23.0,men
footprint,tile,23.0,men
shade,white,23.0,men
arch,concrete,23.0,men
frost,plant,23.0,men
kiss,smile,23.0,men
fall,love,23.0,men
concrete,school,23.0,men
evening,misty,23.0,men
miniature,painting,23.0,men
evening,lunch,23.0,men
hill,shore,22.0,men
happy,idea,22.0,men
light,sleep,22.0,men
grey,rusty,22.0,men
feel,sleep,22.0,men
band,track,22.0,men
happy,sleep,22.0,men
shade,twig,22.0,men
child,live,22.0,men
dirty,drip,21.0,men
shopping,street,21.0,men
horse,work,21.0,men
school,traffic,21.0,men
house,poster,21.0,men
brown,hawk,21.0,men
city,small,21.0,men
square,town,21.0,men
foot,piano,21.0,men
curl,whisker,21.0,men
dinner,room,21.0,men
drop,time,21.0,men
live,race,21.0,men
fall,stand,21.0,men
feel,idea,21.0,men
ruin,town,21.0,men
lunch,relax,21.0,men
bright,fruit,20.0,men
dead,hang,20.0,men
cone,hill,20.0,men
friend,relax,20.0,men
hold,nest,20.0,men
farm,wind,20.0,men
cold,wash,20.0,men
idea,people,20.0,men
coffee,room,20.0,men
kiss,tear,20.0,men
club,match,19.0,men
leave,stop,19.0,men
cold,summer,19.0,men
market,white,19.0,men
miniature,paint,19.0,men
evening,friend,19.0,men
city,mill,19.0,men
hang,rusty,18.0,men
dinner,relax,18.0,men
cross,tower,18.0,men
feel,friend,18.0,men
ruin,tower,18.0,men
smile,walk,18.0,men
dark,rusty,18.0,men
lunch,walk,18.0,men
painting,work,18.0,men
garage,garden,18.0,men
happy,stand,17.0,men
ball,square,17.0,men
port,sweet,17.0,men
night,stop,17.0,men
foot,friend,17.0,men
hang,time,17.0,men
happy,night,17.0,men
club,play,17.0,men
couple,race,17.0,men
play,sign,17.0,men
parade,store,17.0,men
curl,leaf,17.0,men
bright,grey,16.0,men
foot,train,16.0,men
blue,happy,16.0,men
family,town,16.0,men
curve,dance,16.0,men
bridge,ceramic,16.0,men
button,grey,16.0,men
club,sign,16.0,men
circle,snake,16.0,men
dinner,sleep,16.0,men
line,underground,16.0,men
dirty,tear,16.0,men
family,square,16.0,men
cold,silver,15.0,men
club,cone,15.0,men
hang,leave,15.0,men
rusty,shade,15.0,men
stripe,urban,15.0,men
smile,view,15.0,men
school,tear,15.0,men
food,wild,15.0,men
smile,time,15.0,men
city,round,15.0,men
nail,wolf,15.0,men
bath,sleep,15.0,men
blue,poster,14.0,men
drip,rusty,14.0,men
garden,smoke,14.0,men
glass,mill,14.0,men
race,square,14.0,men
smile,stand,14.0,men
frost,summer,14.0,men
animal,hand,14.0,men
game,sign,14.0,men
dead,face,14.0,men
leave,walk,14.0,men
dark,stripe,14.0,men
animal,mural,14.0,men
leave,play,14.0,men
happy,walk,14.0,men
sink,time,14.0,men
stripe,train,14.0,men
feel,stop,13.0,men
dirty,happy,13.0,men
ruin,shore,13.0,men
bear,play,13.0,men
party,seat,13.0,men
dirty,hang,13.0,men
circle,sport,13.0,men
hang,happy,13.0,men
curl,lick,13.0,men
people,stop,13.0,men
ceramic,live,13.0,men
dark,sand,13.0,men
shore,tear,12.0,men
display,scratch,12.0,men
ball,curl,12.0,men
blue,swing,12.0,men
kiss,stop,12.0,men
face,stand,12.0,men
city,family,12.0,men
drop,rusty,12.0,men
parade,table,12.0,men
twig,underground,12.0,men
chair,holiday,12.0,men
mill,wild,12.0,men
shore,small,12.0,men
foot,mural,12.0,men
leave,smile,11.0,men
military,reflection,11.0,men
smile,stop,11.0,men
airplane,market,11.0,men
hang,tear,11.0,men
dirty,friend,11.0,men
blue,hand,11.0,men
mural,taxi,11.0,men
happy,lick,11.0,men
desert,smoke,11.0,men
leave,rusty,11.0,men
hang,stop,11.0,men
feel,hang,10.0,men
drip,round,10.0,men
friend,stop,10.0,men
step,wind,10.0,men
rusty,stand,10.0,men
bright,rusty,10.0,men
house,stop,10.0,men
display,pond,10.0,men
stand,tear,10.0,men
lady,stop,10.0,men
jacket,stream,10.0,men
dirty,smile,10.0,men
friend,rusty,10.0,men
friend,leave,10.0,men
family,hawk,10.0,men
feel,time,10.0,men
face,hang,10.0,men
cross,shopping,10.0,men
club,river,9.0,men
lick,stop,9.0,men
idea,rusty,9.0,men
lick,marble,9.0,men
branch,protest,9.0,men
abandon,frost,9.0,men
leave,night,9.0,men
green,number,9.0,men
shade,whisker,9.0,men
flame,word,9.0,men
couple,square,9.0,men
abandon,button,9.0,men
horse,sweet,9.0,men
cold,flag,8.0,men
protest,tile,8.0,men
beard,sport,8.0,men
footprint,holiday,8.0,men
hair,shore,8.0,men
kiss,rusty,8.0,men
desert,roof,8.0,men
bread,chair,7.0,men
hang,smile,7.0,men
clock,stripe,7.0,men
idea,stop,7.0,men
bear,subway,7.0,men
rusty,tear,7.0,men
bloom,friend,7.0,men
cloud,kitten,7.0,men
pillow,stone,7.0,men
frost,protest,7.0,men
face,stop,7.0,men
snake,taxi,7.0,men
lock,misty,6.0,men
party,sink,6.0,men
ancient,poster,6.0,men
chair,word,6.0,men
happy,stop,5.0,men
lick,rusty,5.0,men
piano,wolf,5.0,men
girl,wind,5.0,men
flight,whisker,4.0,men
happy,rusty,3.0,men
machine,pond,3.0,men
festival,whisker,1.0,men
hard,difficult,8.77,simlex
happy,cheerful,9.55,simlex
hard,easy,0.95,simlex
fast,rapid,8.75,simlex
happy,glad,9.17,simlex
wide,narrow,1.03,simlex
easy,difficult,0.58,simlex
hard,simple,1.38,simlex
insane,crazy,9.57,simlex
large,huge,9.47,simlex
hard,tough,8.05,simlex
sharp,dull,0.6,simlex
quick,rapid,9.7,simlex
happy,angry,1.28,simlex
simple,easy,9.4,simlex
guilty,ashamed,6.38,simlex
confident,sure,8.27,simlex
nice,cruel,0.67,simlex
strong,proud,3.17,simlex
difficult,simple,0.87,simlex
necessary,important,7.37,simlex
honest,guilty,1.18,simlex
easy,tough,0.52,simlex
easy,flexible,4.1,simlex
certain,sure,8.42,simlex
different,normal,1.08,simlex
crucial,important,8.82,simlex
scarce,rare,9.17,simlex
long,narrow,3.57,simlex
bizarre,strange,9.37,simlex
modern,ancient,0.73,simlex
dull,funny,0.55,simlex
happy,young,2.0,simlex
tiny,huge,0.6,simlex
polite,proper,7.63,simlex
exotic,rare,8.05,simlex
formal,proper,8.02,simlex
delightful,cheerful,6.58,simlex
sick,crazy,3.57,simlex
laden,heavy,5.9,simlex
dirty,cheap,1.6,simlex
bold,proud,3.97,simlex
fresh,wide,0.4,simlex
large,flexible,0.48,simlex
dirty,narrow,0.3,simlex
winter,summer,2.38,simlex
roof,ceiling,7.58,simlex
river,stream,7.3,simlex
date,calendar,4.42,simlex
second,minute,4.62,simlex
paper,cardboard,5.38,simlex
floor,ceiling,1.73,simlex
business,industry,7.02,simlex
winter,season,6.27,simlex
window,door,3.33,simlex
absence,presence,0.4,simlex
school,grade,4.42,simlex
chair,bench,6.67,simlex
business,company,9.02,simlex
money,capital,6.67,simlex
hand,foot,4.17,simlex
door,gate,5.25,simlex
horn,drum,2.68,simlex
band,parade,3.92,simlex
noise,rattle,6.17,simlex
wire,cord,7.62,simlex
water,salt,1.3,simlex
situation,condition,6.58,simlex
style,fashion,8.5,simlex
animal,person,3.05,simlex
curve,angle,3.33,simlex
foot,head,2.3,simlex
story,topic,5.0,simlex
couple,pair,8.33,simlex
wood,paper,2.88,simlex
father,daughter,2.62,simlex
belief,opinion,7.7,simlex
reality,illusion,1.42,simlex
game,trick,2.32,simlex
worker,mechanic,4.92,simlex
goal,quest,5.83,simlex
august,month,5.53,simlex
circumstance,situation,7.85,simlex
opinion,choice,5.43,simlex
room,bath,3.33,simlex
opinion,idea,5.7,simlex
card,bridge,1.97,simlex
crowd,bunch,7.42,simlex
wealth,prestige,6.07,simlex
endurance,strength,6.58,simlex
tongue,throat,3.1,simlex
house,carpet,1.38,simlex
song,story,3.97,simlex
idea,image,3.55,simlex
father,brother,4.2,simlex
ball,costume,2.32,simlex
attention,interest,7.22,simlex
argument,agreement,1.45,simlex
floor,deck,5.55,simlex
roof,floor,2.62,simlex
door,floor,1.67,simlex
shoulder,head,3.42,simlex
sorrow,shame,4.77,simlex
population,people,7.68,simlex
girl,child,5.38,simlex
head,nail,2.47,simlex
bone,neck,2.53,simlex
club,society,5.23,simlex
reflection,image,7.27,simlex
people,party,2.2,simlex
effort,difficulty,4.45,simlex
value,belief,7.07,simlex
discussion,argument,5.48,simlex
activity,movement,7.15,simlex
gossip,news,5.22,simlex
home,state,2.58,simlex
area,corner,2.07,simlex
article,journal,6.18,simlex
crowd,parade,3.93,simlex
room,cell,4.58,simlex
throat,nose,2.8,simlex
bone,elbow,3.78,simlex
muscle,bone,3.65,simlex
muscle,tongue,5.0,simlex
night,dawn,2.95,simlex
nail,hand,3.42,simlex
nose,mouth,3.73,simlex
belief,impression,5.95,simlex
anger,mood,4.1,simlex
elegance,style,5.72,simlex
friend,mother,2.53,simlex
chapter,choice,0.48,simlex
trick,size,0.48,simlex
choice,vein,0.98,simlex
endurance,band,0.4,simlex
hole,agreement,0.3,simlex
presence,door,0.48,simlex
night,chapter,0.48,simlex
bath,trick,0.58,simlex
course,stomach,0.58,simlex
hymn,straw,0.4,simlex
stomach,vein,2.35,simlex
occur,happen,9.32,simlex
multiply,divide,1.75,simlex
kill,destroy,5.9,simlex
create,make,8.72,simlex
accept,reject,0.83,simlex
carry,bring,5.8,simlex
leave,enter,0.95,simlex
receive,give,1.47,simlex
imitate,portray,6.75,simlex
think,decide,5.13,simlex
greet,meet,6.17,simlex
destroy,make,1.6,simlex
save,protect,6.58,simlex
give,lend,7.22,simlex
understand,know,7.47,simlex
take,receive,5.08,simlex
accept,acknowledge,6.88,simlex
decide,choose,8.87,simlex
accept,believe,6.75,simlex
keep,possess,8.27,simlex
roam,wander,8.83,simlex
succeed,fail,0.83,simlex
spend,save,0.55,simlex
come,attend,8.1,simlex
know,believe,5.5,simlex
gather,meet,7.3,simlex
make,earn,7.62,simlex
arrive,leave,1.33,simlex
arrive,come,7.05,simlex
send,receive,1.08,simlex
kill,choke,4.92,simlex
leave,remain,2.53,simlex
take,carry,5.23,simlex
take,deliver,4.37,simlex
speak,hear,3.02,simlex
take,possess,7.2,simlex
kill,hang,4.45,simlex
create,imagine,5.13,simlex
appear,attend,6.28,simlex
argue,differ,5.15,simlex
overcome,dominate,6.25,simlex
fail,discourage,3.33,simlex
come,bring,2.42,simlex
take,leave,2.47,simlex
please,plead,2.98,simlex
argue,prove,4.83,simlex
inspect,examine,8.75,simlex
make,become,4.77,simlex
borrow,sell,1.73,simlex
keep,protect,5.4,simlex
explain,prove,4.1,simlex
argue,persuade,6.23,simlex
explore,discover,8.48,simlex
keep,borrow,2.25,simlex
arrange,organize,8.27,simlex
speak,acknowledge,4.67,simlex
give,borrow,2.22,simlex
deliver,carry,3.88,simlex
become,seem,2.63,simlex
contemplate,think,8.82,simlex
want,choose,4.78,simlex
become,appear,4.77,simlex
leave,wander,3.57,simlex
keep,give,1.05,simlex
give,allow,5.15,simlex
bring,send,2.97,simlex
acquire,find,6.38,simlex
leave,appear,0.97,simlex
create,destroy,0.63,simlex
collect,save,6.67,simlex
accept,deliver,1.58,simlex
attach,join,7.75,simlex
portray,decide,1.18,simlex
organize,become,1.77,simlex
give,know,0.88,simlex
borrow,want,1.77,simlex
join,acquire,2.85,simlex
send,attend,1.67,simlex
gather,attend,4.8,simlex
attend,arrive,6.08,simlex
brazil,nut,1.1,scws
brazil,triple,0.6,scws
cd,aglow,1.8,scws
harvard,yale,5.9,scws
harvard,cambridge,8.1,scws
israel,east,2.1,scws
israel,israeli,8.1,scws
japanese,american,4.0,scws
jerusalem,israel,8.2,scws
jerusalem,wall,0.3,scws
mexico,brazil,4.4,scws
mexico,puebla,6.0,scws
opec,saudi,5.0,scws
palestinian,arab,4.1,scws
wednesday,news,2.6,scws
wednesday,weekday,6.3,scws
yale,haven,1.5,scws
ability,know-how,7.45,scws
abuse,abuse,6.8,scws
abuse,persecution,5.7,scws
accepted,accepted,9.3,scws
accepted,acknowledged,7.4,scws
accepted,believe,4.7,scws
accepted,welcome,4.5,scws
accommodate,accommodate,8.6,scws
accommodate,adjust,4.55,scws
accommodation,accommodation,4.3,scws
accommodation,settlement,5.3,scws
acronym,form,3.6,scws
activity,activity,8.6,scws
activity,inaction,6.0,scws
admission,confession,2.3,scws
admission,matriculation,5.6,scws
advance,advance,8.1,scws
advance,headway,5.28,scws
advance,propose,2.4,scws
advance,recovery,0.4,scws
advance,string,0.5,scws
advised,inform,7.1,scws
advised,murder,1.0,scws
affect,affect,7.8,scws
affect,tense,2.2,scws
aged,aged,8.7,scws
aged,develop,2.2,scws
aged,old,8.1,scws
aged,worn,2.9,scws
aged,young,6.0,scws
aim,cause,5.2,scws
aim,hold,1.8,scws
aim,thing,2.2,scws
airport,airfield,6.75,scws
alcohol,chemistry,3.6,scws
alcohol,sterol,2.85,scws
aluminum,component,2.4,scws
aluminum,metal,8.1,scws
ambush,surprise,4.7,scws
animal,herbivore,5.45,scws
announcement,effort,1.0,scws
announcement,news,7.0,scws
announcement,production,0.8,scws
announcement,statement,3.6,scws
announcement,warning,5.4,scws
answering,answering,8.1,scws
answering,counter,4.65,scws
answering,react,4.1,scws
antecedent,cause,5.3,scws
anxiety,worry,7.6,scws
approach,access,3.02,scws
approach,approach,5.9,scws
approach,converge,5.6,scws
arch,curve,6.5,scws
architecture,building,7.2,scws
architecture,century,1.7,scws
architecture,urban,1.4,scws
arch,shoulder,1.8,scws
area,area,6.88,scws
area,space,7.3,scws
arrangement,flower,1.9,scws
arrival,hotel,1.9,scws
artifact,weight,0.0,scws
ash,bone,2.6,scws
assignment,document,4.9,scws
assimilation,americanization,3.3,scws
assimilation,assimilation,8.5,scws
association,association,3.8,scws
association,realtor,2.4,scws
astronomer,astrophysicist,7.15,scws
asylum,bedlam,2.8,scws
asylum,madhouse,5.75,scws
asylum,shelter,5.7,scws
atmosphere,atmosphere,9.35,scws
atmosphere,landscape,4.94,scws
atmosphere,stp,3.0,scws
attempt,activity,4.0,scws
attempt,crime,1.35,scws
attempted,initiate,5.95,scws
attempt,give,2.5,scws
attempt,initiate,4.9,scws
attempt,peace,1.3,scws
attended,attended,8.1,scws
attended,minister,2.75,scws
attitude,guard,2.5,scws
attitude,respect,3.9,scws
automobile,window,0.5,scws
avenue,approach,5.6,scws
avenue,street,7.49,scws
baby,baby,6.55,scws
baby,mother,1.4,scws
baby,treat,1.8,scws
back,lumbar,1.6,scws
back,out,2.8,scws
back,second,2.4,scws
back,side,0.5,scws
bank,bank,4.8,scws
bank,money,2.5,scws
bank,riverbank,3.5,scws
base,air,3.45,scws
baseball,equipment,2.1,scws
base,build,4.2,scws
base,structure,5.0,scws
basketball,ball,4.95,scws
basketball,tip-off,1.0,scws
bat,bat,1.55,scws
bat,fruit,1.55,scws
bats,bat,8.25,scws
bats,bats,3.0,scws
bats,placental,3.6,scws
bat,turn,0.5,scws
beam,beam,5.8,scws
beam,shore,2.3,scws
beam,signal,6.0,scws
bed,closet,3.05,scws
bed,plant,0.7,scws
bed,platform,2.2,scws
bed,plot,2.5,scws
benchmark,index,2.7,scws
benchmark,point,5.0,scws
bent,bent,1.7,scws
bent,double,1.6,scws
bent,inclination,6.4,scws
bias,experimenter,3.45,scws
bias,line,0.4,scws
bigger,bigger,8.2,scws
bigger,large,8.25,scws
bird,meat,4.4,scws
bishop,rabbi,4.75,scws
bishop,wine,0.9,scws
bitter,ale,5.0,scws
bitter,bitter,7.45,scws
bitter,resentful,7.35,scws
bitter,taste,7.2,scws
block,area,3.3,scws
block,block,1.1,scws
block,close,3.8,scws
blow,blow,7.4,scws
blowing,exhale,5.65,scws
blow,insufflate,2.45,scws
blown,blown,4.3,scws
blow,swat,0.7,scws
board,deal,4.45,scws
board,directorate,6.4,scws
book,open,1.9,scws
book,paper,4.9,scws
book,phrase,3.5,scws
book,picture,3.15,scws
booster,advertiser,2.3,scws
booster,advocate,1.6,scws
booster,booster,7.2,scws
bootleg,covering,1.4,scws
bootleg,produce,2.5,scws
bootleg,whiskey,1.6,scws
bore,cut,0.7,scws
bore,flow,1.6,scws
bore,stuff,0.9,scws
bound,boundary,5.7,scws
bound,line,1.6,scws
bound,skirt,1.8,scws
bound,vault,2.1,scws
bow,bow,0.1,scws
bow,knot,2.3,scws
bowling,ball,1.4,scws
bowling,wheel,1.4,scws
bow,yield,2.5,scws
boxing,hit,4.3,scws
boxing,round,1.4,scws
boy,angstrom,1.6,scws
boy,bat,0.55,scws
branching,bifurcation,3.0,scws
branching,grow,3.2,scws
bread,butter,5.65,scws
bread,cover,0.7,scws
bread,money,2.35,scws
bring,change,2.9,scws
bring,return,5.5,scws
bronze,nickel,7.2,scws
bronze,sculpture,5.5,scws
brother,freemason,2.5,scws
brother,monk,1.1,scws
buck,bill,4.2,scws
buck,horse,1.3,scws
buffer,zone,4.1,scws
bug,defect,7.0,scws
bug,insect,7.9,scws
burning,burning,6.1,scws
burning,change,1.5,scws
burning,important,0.0,scws
burnt,burnt,8.5,scws
burnt,treated,1.0,scws
bury,bury,5.6,scws
bury,hide,6.7,scws
bury,lay,3.75,scws
cabbage,steal,5.0,scws
cake,dish,5.9,scws
cake,tablet,1.9,scws
calculation,interpolation,4.25,scws
camp,camp,7.7,scws
camp,gathering,3.9,scws
camping,pitch,1.2,scws
capital,assets,5.5,scws
capital,primary,3.7,scws
capital,seed,0.4,scws
car,automobile,8.8,scws
card,card,4.9,scws
card,playing,4.6,scws
card,ration,3.2,scws
card,see,2.6,scws
car,limousine,2.8,scws
carnivore,predator,8.1,scws
carrier,carrier,9.5,scws
carrier,traveler,4.3,scws
carrier,vehicle,3.9,scws
cash,credit,6.1,scws
cast,cast,6.4,scws
cast,gathering,3.25,scws
cast,give,3.1,scws
cast,shoot,2.1,scws
catching,catch,6.3,scws
catching,catching,9.55,scws
catching,discovery,0.7,scws
catching,perceive,1.5,scws
catching,playing,3.5,scws
category,kind,5.05,scws
cat,feline,7.1,scws
cat,man,2.0,scws
cell,compartment,5.0,scws
cell,membrane,5.7,scws
cemetery,site,4.67,scws
center,center,6.4,scws
center,central,3.4,scws
center,fiscal,1.0,scws
center,refer,0.3,scws
center,think,1.7,scws
center,tract,4.0,scws
century,integer,2.0,scws
century,nation,1.3,scws
century,year,6.3,scws
challenge,litigate,4.4,scws
challenge,situation,4.4,scws
championship,contest,6.5,scws
championship,tournament,8.1,scws
chance,credibility,2.8,scws
chance,fortune,3.3,scws
chance,ring,1.15,scws
change,attitude,3.3,scws
change,change,9.3,scws
change,relation,2.7,scws
channels,transmission,5.65,scws
channels,transmission,4.55,scws
charcoal,fuel,7.0,scws
checked,checked,8.8,scws
checked,examine,6.2,scws
chemistry,substance,2.65,scws
children,offspring,6.2,scws
cholera,infectious,6.5,scws
chord,arpeggio,6.25,scws
chord,play,3.7,scws
circulation,circulation,6.0,scws
circulation,dissemination,3.75,scws
citation,act,1.2,scws
citation,award,3.55,scws
citation,citation,5.3,scws
citizen,national,4.6,scws
clean,dry,4.2,scws
clean,jerk,3.2,scws
clean,remove,6.85,scws
clear,area,1.5,scws
clear,clear,7.3,scws
clear,innocence,4.6,scws
clear,make,2.8,scws
clinic,session,2.2,scws
closed,closed,6.55,scws
closed,state,2.1,scws
closed,up,2.5,scws
closet,clothes,3.9,scws
closet,storage,3.8,scws
closet,toilet,1.8,scws
closing,closing,5.8,scws
closing,finale,4.6,scws
closing,motion,0.6,scws
closing,open,4.3,scws
closing,snap,2.3,scws
coast,forest,3.4,scws
coast,glide,5.05,scws
coast,hill,2.95,scws
coast,shore,7.45,scws
coast,slope,2.3,scws
cock,penis,6.0,scws
coffee,arab,0.6,scws
cognition,populace,1.7,scws
collect,collect,4.9,scws
collect,due,4.4,scws
collection,archives,5.9,scws
collection,data,6.2,scws
