WORD,EXAMPLE,SOURCE
quiet, the teacher asked the students to work quietly on their assignments,gpt-simple
quiet," the baby finally fell asleep, and the house grew quiet",gpt-simple
quiet, the introverted girl preferred quiet evenings at home rather than going to parties,gpt-simple
mean, she can be quite mean to her younger sister,gpt-simple
mean, what do you mean by that statement?,gpt-simple
mean, the average of a set of numbers is called the mean,gpt-simple
mean, he has a mean streak and often picks on others,gpt-simple
mean, i didn't mean to offend you with my comment,gpt-simple
bread, i love to eat freshly baked bread with butter in the morning,gpt-simple
bread, she used breadcrumbs to coat the chicken before frying it,gpt-simple
bread, the baker kneaded the dough to make the bread rise,gpt-simple
bread, my mom always makes homemade bread for sandwiches,gpt-simple
bread," the toast was burnt, so i had to scrape off the blackened parts",gpt-simple
wealth, he inherited a vast amount of wealth from his parents,gpt-simple
wealth, the country's wealth is heavily dependent on natural resources,gpt-simple
wealth, she pursued her career not for fame but for the wealth of knowledge it brought her,gpt-simple
wealth, the philanthropist dedicated his life to using his wealth to help those in need,gpt-simple
wealth, the medieval castle was a symbol of the wealth and power of the ruling family,gpt-simple
study, she sat down at her desk to study for her upcoming exam,gpt-simple
study," he spent hours in the library, engrossed in his study of ancient civilizations",gpt-simple
study, the scientist conducted a study to determine the effects of the new drug,gpt-simple
study, they enrolled in a language study program to improve their fluency,gpt-simple
study, the artist carefully observed the flowers in order to study their intricate details,gpt-simple
cheerful," she was always cheerful, even in the face of adversity",gpt-simple
cheerful, the cheerful children played happily in the park,gpt-simple
cheerful, the cheerful colors of the flowers brightened up the room,gpt-simple
cheerful, his cheerful demeanor made everyone feel at ease,gpt-simple
cheerful," the cheerful music filled the air, creating a joyful atmosphere",gpt-simple
lesson, i learned a valuable lesson about trust when my friend betrayed me,gpt-simple
lesson, the piano teacher gave me a lesson on scales and arpeggios,gpt-simple
lesson, the history lesson was fascinating; i didn't realize how much i enjoyed learning about ancient civilizations,gpt-simple
lesson, my mom took me to a cooking class where we learned how to make pasta from scratch. it was a fun and delicious lesson!,gpt-simple
lesson, the basketball coach taught us an important lesson about teamwork and cooperation during practice,gpt-simple
belong, she felt like she didn't belong in the new school,gpt-simple
belong, the antique vase didn't belong in the modern living room,gpt-simple
belong, the lost puppy didn't seem to belong to anyone in the neighborhood,gpt-simple
belong," the bookshelf belongs to my sister, but she lets me borrow books from it",gpt-simple
belong," the painting belongs in the art gallery, not in a private collection",gpt-simple
inspect, the police officer inspected the car thoroughly for any signs of illegal substances,gpt-simple
inspect, the quality control team will inspect each product before it is shipped to ensure its safety and functionality,gpt-simple
inspect, the building inspector came to inspect the new construction site for any violations or safety hazards,gpt-simple
inspect, the teacher asked the students to inspect the diagram and identify any errors,gpt-simple
inspect, the health department conducts regular inspections of restaurants to ensure they meet hygiene standards,gpt-simple
endurance, his endurance was tested during the marathon as he pushed through the pain and exhaustion to cross the finish line,gpt-simple
endurance, the hiker's endurance was impressive as he trekked through the rugged terrain for days without rest,gpt-simple
endurance, the athlete's mental endurance allowed him to stay focused and motivated during the intense training sessions,gpt-simple
endurance, her emotional endurance helped her cope with the challenges and setbacks in her personal life,gpt-simple
endurance, the soldier's physical endurance was put to the test during the grueling military training exercises,gpt-simple
upgrade, i need to upgrade my phone to the latest model,gpt-simple
upgrade, the company decided to upgrade their computer systems to improve efficiency,gpt-simple
upgrade, she was thrilled to receive an upgrade to first class on her flight,gpt-simple
upgrade, the hotel offered to upgrade their room to a suite at no extra cost,gpt-simple
upgrade, the software developer released an upgrade to fix bugs and add new features,gpt-simple
stone, she skipped a stone across the calm surface of the lake,gpt-simple
stone, the mason carefully carved intricate designs into the stone,gpt-simple
stone," the stone hit the window with a loud thud, shattering the glass",gpt-simple
stone, the explorers stumbled upon an ancient stone monument deep in the jungle,gpt-simple
stone, he built a stone wall around his property to provide privacy,gpt-simple
chapter, i just finished reading the final chapter of the book,gpt-simple
chapter, the history textbook has a chapter on the renaissance,gpt-simple
chapter, we need to discuss the next chapter of our project at the meeting,gpt-simple
chapter, the professor asked us to read chapter 7 for next week's class,gpt-simple
chapter, she closed the chapter on her previous job and started a new career,gpt-simple
drink, i need to drink water to stay hydrated,gpt-simple
drink, let's go to the bar and have a drink,gpt-simple
drink, she prefers to drink tea in the morning,gpt-simple
drink, the doctor advised him not to drink alcohol,gpt-simple
drink, they stopped to drink from the refreshing stream,gpt-simple
silver, the olympic medalist proudly held up her silver medal for all to see,gpt-simple
silver, the jewelry store had a wide selection of silver necklaces and earrings,gpt-simple
silver," the moon's glow reflected off the calm waters, creating a beautiful silver shimmer",gpt-simple
silver," the old man's hair was silver, a testament to his age and wisdom",gpt-simple
silver," the antique silverware set was passed down through generations, a cherished family heirloom",gpt-simple
pause, she took a brief pause before answering the question,gpt-simple
pause," the actor delivered his lines with perfect timing, pausing for dramatic effect",gpt-simple
pause, i hit the pause button on the remote control to stop the movie,gpt-simple
pause," the music came to a sudden pause, leaving the audience in suspense",gpt-simple
pause, he paused for a moment to gather his thoughts before continuing the presentation,gpt-simple
seem, it seems like it's going to rain today,gpt-simple
seem, she seems happy with her new job,gpt-simple
seem," the movie seems interesting, i might go see it",gpt-simple
seem, they seem to be arguing about something,gpt-simple
seem, the situation seems to be getting worse,gpt-simple
operate, the surgeon will operate on the patient tomorrow morning,gpt-simple
operate, the company is planning to operate a new factory in the next fiscal year,gpt-simple
operate, my computer won't operate properly without the latest software update,gpt-simple
operate, the organization operates a hotline for people in need of immediate assistance,gpt-simple
operate, the airline company operates daily flights to major cities around the world,gpt-simple
match, she struck a match and lit the candle,gpt-simple
match, the soccer match ended in a tie,gpt-simple
match, his tie perfectly matched his suit,gpt-simple
match, i can't find a match for this pattern in the database,gpt-simple
match, the colors of the painting don't quite match the description,gpt-simple
include," the recipe for the cake includes flour, sugar, and eggs",gpt-simple
include, the team roster includes players from all over the world,gpt-simple
include, the price of the concert ticket includes access to the after-party,gpt-simple
include, the package includes a set of instructions on how to assemble the furniture,gpt-simple
include, the museum tour includes a visit to the special exhibitions,gpt-simple
square, i drew a perfect square on the paper,gpt-simple
square, let's meet at the town square this evening,gpt-simple
square, the fabric has a beautiful square pattern,gpt-simple
square, she squared her shoulders and faced the challenge head-on,gpt-simple
square, the two friends decided to settle their differences in a fair and square manner,gpt-simple
grab, she reached out to grab the book from the shelf,gpt-simple
grab, he quickly grabbed his coat and rushed out the door,gpt-simple
grab, the child eagerly grabbed the candy from the bowl,gpt-simple
grab, the police officer attempted to grab the suspect as he fled,gpt-simple
grab, i always grab a cup of coffee on my way to work,gpt-simple
want, i want to go on vacation this summer,gpt-simple
want, he wants a new car for his birthday,gpt-simple
want, we want to watch a movie tonight,gpt-simple
want, she wants to become a doctor when she grows up,gpt-simple
want, they want to eat dinner at their favorite restaurant,gpt-simple
fortune, she inherited a vast fortune from her late uncle,gpt-simple
fortune, he considered himself fortunate to have found a job during the economic downturn,gpt-simple
fortune, the fortune teller predicted a bright future for the young couple,gpt-simple
fortune, the soldier risked his fortune for the chance to defend his country,gpt-simple
fortune, the explorer set sail in search of fame and fortune,gpt-simple
dedicate, she decided to dedicate her life to helping others,gpt-simple
dedicate, the author dedicated his book to his loving family,gpt-simple
dedicate, the team dedicated their victory to their coach,gpt-simple
dedicate, the artist dedicated her latest artwork to her late grandmother,gpt-simple
dedicate, he dedicated his time and effort to mastering the piano,gpt-simple
position, she applied for a managerial position at the company,gpt-simple
position, the runner crossed the finish line in first position,gpt-simple
position, the yoga instructor carefully adjusted her students' positions,gpt-simple
position, the military is fortifying its position along the border,gpt-simple
position, the politician took a firm position on the controversial issue,gpt-simple
drop, i accidentally dropped my phone and cracked the screen,gpt-simple
drop, the temperature is expected to drop below freezing tonight,gpt-simple
drop, can you please drop me off at the train station on your way to work?,gpt-simple
drop, she decided to drop out of college and pursue a career in music,gpt-simple
drop," the cat gracefully leapt off the table, executing a perfect drop to the floor",gpt-simple
minority, the minority of students in the class passed the exam,gpt-simple
minority, the minority of voters supported the new legislation,gpt-simple
minority, the minority religion in the country faced discrimination,gpt-simple
minority, the minority shareholders opposed the company's decision,gpt-simple
minority, the minority population in the city has been steadily increasing,gpt-simple
press, the journalist used a press conference to announce the breaking news,gpt-simple
press, she pressed her finger on the button to start the printing press,gpt-simple
press, the students were excited to attend a field trip to the local newspaper press,gpt-simple
press, can you please press the elevator button for me?,gpt-simple
press, he tried to press his suit to remove the wrinkles before the job interview,gpt-simple
poll, the election poll showed that the majority of voters supported the incumbent candidate,gpt-simple
poll, the company conducted a survey to poll employees on their satisfaction with the new benefits package,gpt-simple
poll, the environmental organization is conducting a poll to gauge public opinion on the construction of a new dam,gpt-simple
poll, we decided to take a poll among our friends to see which restaurant they preferred for dinner,gpt-simple
poll, the research team used a random sampling method to poll participants about their exercise habits,gpt-simple
exhibit, the art gallery hosted an exhibit showcasing local artists,gpt-simple
exhibit, the zoo has a new exhibit featuring endangered species,gpt-simple
exhibit, she had to prepare an exhibit for her science fair project,gpt-simple
exhibit, the museum curator carefully labeled each exhibit with detailed descriptions,gpt-simple
exhibit, the defendant's lawyer presented a compelling exhibit as evidence in court,gpt-simple
death, the sudden death of her husband left her devastated,gpt-simple
death, the doctor declared the patient brain dead after a severe accident,gpt-simple
death, the main character sacrifices himself to save others in a heroic death,gpt-simple
death, the detective is investigating a suspicious death that occurred in the small town,gpt-simple
death, the fear of death often leads people to contemplate the meaning of life,gpt-simple
station," the train arrived at the station, and passengers hurriedly got off",gpt-simple
station, she was stationed at a remote military base for three years,gpt-simple
station, the radio station played all the latest hits,gpt-simple
station," he was at the gas station, filling up his car's tank",gpt-simple
station, the scientist worked at the research station in antarctica,gpt-simple
dunk, he made an impressive dunk during the basketball game,gpt-simple
dunk, she dunked her cookie into her cup of hot tea,gpt-simple
dunk, the donut was so big that he had to dunk it in his coffee to fit it in his mouth,gpt-simple
dunk, the child was excited to dunk his toy car into the water during bath time,gpt-simple
dunk, the basketball player missed his dunk and the ball bounced off the rim,gpt-simple
quarrel, she had a heated quarrel with her neighbor over the loud music,gpt-simple
quarrel, the couple decided to seek counseling to resolve their marital quarrel,gpt-simple
quarrel, the children's quarrel over the toy escalated into a full-blown fight,gpt-simple
quarrel, the two politicians engaged in a bitter quarrel during the televised debate,gpt-simple
quarrel, the siblings often quarrel about who gets to use the computer first,gpt-simple
sunrise, i woke up early to catch the breathtaking sunrise over the mountains,gpt-simple
sunrise," the golden hues of the sunrise lit up the sky, signaling the start of a new day",gpt-simple
sunrise, we decided to have a picnic by the beach and watch the sunrise in all its glory,gpt-simple
sunrise," as the sun rose above the horizon, the vibrant colors of the sunrise painted the clouds",gpt-simple
sunrise, the tranquil beauty of the sunrise brought a sense of peace and hope to everyone who witnessed it,gpt-simple
hope, i hope that it doesn't rain tomorrow,gpt-simple
hope, she clung to the hope that her missing dog would be found,gpt-simple
hope, the team's hope for victory was dashed when their star player got injured,gpt-simple
hope, he has high hopes of getting a promotion at work,gpt-simple
hope," despite the difficult circumstances, they never lost hope",gpt-simple
language, she studied french as a second language in school,gpt-simple
language, the software program was written in a programming language called c++,gpt-simple
language, the diplomat used diplomatic language to defuse the tense situation,gpt-simple
language, the linguist was fascinated by the complexities of the english language,gpt-simple
language, the body language of the speaker indicated nervousness and discomfort,gpt-simple
mother, my mother is the most caring person i know,gpt-simple
mother, the mother bird built a nest for her babies high up in the tree,gpt-simple
mother, she asked her mother for advice before making a decision,gpt-simple
mother, the mother company owns several subsidiary businesses,gpt-simple
mother," he called her ""mother"" as a term of endearment",gpt-simple
pluck, she plucked a flower from the garden and tucked it behind her ear,gpt-simple
pluck," the musician plucked the strings of the guitar, creating a beautiful melody",gpt-simple
pluck," with a steady hand and a pair of tweezers, she plucked the splinter from his finger",gpt-simple
pluck, the chef plucked a chicken feather and used it to baste the roasting turkey,gpt-simple
pluck, he mustered up the courage to pluck up the courage to ask her out on a date,gpt-simple
track, i love running on the track at the local stadium,gpt-simple
track, the detective followed the muddy footprints to track down the suspect,gpt-simple
track, the album has a great collection of rock tracks,gpt-simple
track, the hikers lost their way and had to backtrack to find the correct trail,gpt-simple
track, the train is running on the wrong track and needs to be redirected,gpt-simple
bounce, the basketball bounced off the rim and into the hands of the opposing player,gpt-simple
bounce, the children were so excited to see the bounce house at the party,gpt-simple
bounce, the stock market experienced a significant bounce after the positive earnings report,gpt-simple
bounce, she couldn't help but bounce with joy when she received the good news,gpt-simple
bounce, the tennis ball had a lot of bounce on the grass court,gpt-simple
choice, her choice of outfit for the party was elegant and stylish,gpt-simple
choice, the restaurant offers a wide choice of dishes on their menu,gpt-simple
choice," after much consideration, she made the choice to pursue a career in medicine",gpt-simple
choice, the company prides itself on providing customers with a variety of choice in their products,gpt-simple
choice, he had no choice but to accept the consequences of his actions,gpt-simple
result, the result of the experiment was inconclusive,gpt-simple
result," the team worked hard and their efforts paid off, resulting in a victory",gpt-simple
result, eating unhealthy food can result in weight gain and other health issues,gpt-simple
result, the heavy rain resulted in flooding in several areas of the city,gpt-simple
result, the negotiations between the two countries resulted in a peaceful resolution to the conflict,gpt-simple
raise, she decided to raise her hand to ask a question in class,gpt-simple
raise, the company announced a raise in salaries for all employees,gpt-simple
raise, the sun will raise in the east and set in the west,gpt-simple
raise, the parents were proud to raise their children in a loving and supportive environment,gpt-simple
raise, the teacher needed to raise her voice to get the attention of the noisy students,gpt-simple
kitten, i adopted a cute little kitten from the animal shelter,gpt-simple
kitten, the children giggled as they played with the tiny kitten,gpt-simple
kitten, she carefully cradled the sleeping kitten in her arms,gpt-simple
kitten, the mischievous kitten climbed up the curtains and caused chaos in the living room,gpt-simple
kitten, the mother cat gently licked her newborn kittens clean,gpt-simple
punish, the teacher decided to punish the student for cheating on the exam,gpt-simple
punish, the judge imposed a harsh punishment on the convicted criminal,gpt-simple
punish," as a disciplinary measure, the parents decided to punish their child by taking away their video game privileges",gpt-simple
punish, the coach punished the team by making them run extra laps after losing the game,gpt-simple
punish, the company implemented a policy to punish employees who consistently arrived late to work,gpt-simple
find, i find it difficult to concentrate when there's a lot of noise,gpt-simple
find, can you help me find my car keys? i seem to have misplaced them,gpt-simple
find, they were able to find a solution to the problem after hours of brainstorming,gpt-simple
find, i find it fascinating how different cultures celebrate holidays,gpt-simple
find, the detective was determined to find the truth behind the mysterious disappearance,gpt-simple
guess, i can only make an educated guess about the answer to that question,gpt-simple
guess, she made a lucky guess and won the game,gpt-simple
guess, can you guess what the surprise is?,gpt-simple
guess, i'm just going to take a wild guess and say that he's not coming,gpt-simple
guess, my guess is that they will choose the blue option,gpt-simple
production, the production of cars has increased significantly this year,gpt-simple
production, she works in the film production industry,gpt-simple
production, the factory has a daily production target of 500 units,gpt-simple
production, the theater company is putting on a production of romeo and juliet,gpt-simple
production, the company is known for its high-quality production of furniture,gpt-simple
awake, i was awake all night studying for the exam,gpt-simple
awake," the loud noise from the construction site woke me up, and i was instantly wide awake",gpt-simple
awake, the teacher asked the students to stay awake during the class lecture,gpt-simple
awake, she was awake to the fact that her actions had consequences,gpt-simple
awake, the baby finally fell asleep after being awake for hours,gpt-simple
heavy, the suitcase was so heavy that i struggled to lift it,gpt-simple
heavy," the rain grew heavy, soaking everyone caught outside",gpt-simple
heavy, she wore a heavy coat to keep warm in the winter,gpt-simple
heavy," the boxer threw a heavy punch, knocking his opponent to the ground",gpt-simple
heavy, the heavy traffic caused me to be late for work,gpt-simple
beard," he stroked his long, gray beard thoughtfully",gpt-simple
beard, the bearded man entered the room with a confident stride,gpt-simple
beard," she gently kissed his cheek, feeling the roughness of his beard against her lips",gpt-simple
beard, the king's beard was a symbol of his power and authority,gpt-simple
beard, the barber carefully trimmed the customer's unruly beard,gpt-simple
yield, the farmer's fields yielded a bountiful harvest of fruits and vegetables,gpt-simple
yield, the construction workers were able to yield the road for the passing ambulance,gpt-simple
yield, the negotiations between the two countries did not yield any positive results,gpt-simple
yield," the pressure caused the pipe to yield and burst, leading to a water leak",gpt-simple
yield," despite the challenges, she managed to yield a high score on her exam",gpt-simple
winter, i love going skiing in the winter,gpt-simple
winter, the winter weather can be quite harsh,gpt-simple
winter, the birds fly south for the winter,gpt-simple
winter, winter is the perfect time to cozy up by the fireplace,gpt-simple
winter, my favorite winter activity is building snowmen,gpt-simple
part, he played the lead part in the school play,gpt-simple
part, the mechanic ordered a replacement part for the car,gpt-simple
part, she took part in the charity event to raise funds for cancer research,gpt-simple
part, the detective found a crucial part of the evidence at the crime scene,gpt-simple
part," the book is divided into several sections, each covering a different part of history",gpt-simple
comment, i read an interesting comment about the book on the online forum,gpt-simple
comment, the teacher asked the students to write a comment on the article they had just read,gpt-simple
comment," she made a sarcastic comment about his outfit, causing him to feel embarrassed",gpt-simple
comment, the journalist received a lot of praise for her insightful comment on the current political situation,gpt-simple
comment," he left a comment on her social media post, expressing his admiration for her artwork",gpt-simple
snap, she heard a loud snap as the branch broke under her weight,gpt-simple
snap, he quickly snapped a photo of the beautiful sunset,gpt-simple
snap, the toddler threw a tantrum and snapped the toy in half,gpt-simple
snap, the detective finally snapped and confessed to the crime,gpt-simple
snap, the cold weather made the tree branches snap and crackle,gpt-simple
bitter, the bitter taste of the medicine made him cringe,gpt-simple
bitter, she had a bitter argument with her sister over the inheritance,gpt-simple
bitter," after losing the game, he was filled with bitter disappointment",gpt-simple
bitter, the bitter cold made her shiver uncontrollably,gpt-simple
bitter, the bitter rivalry between the two teams added to the intensity of the match,gpt-simple
associate," i am happy to introduce my colleague, who is an associate in the company",gpt-simple
associate," she is an associate professor at the university, specializing in linguistics",gpt-simple
associate, the suspect claimed to have no association with the crime,gpt-simple
associate," the artist was featured in an exhibition, in association with several other painters",gpt-simple
associate, he is known to associate with influential people in the industry,gpt-simple
funny, the comedian told a funny joke that had the entire audience laughing,gpt-simple
funny, the children found the clown's antics to be very funny,gpt-simple
funny, my friend has a funny way of telling stories; he always adds humorous details,gpt-simple
funny, i find it funny how my cat always tries to catch its own tail,gpt-simple
funny," the movie we watched last night was supposed to be a comedy, but i didn't find it funny at all",gpt-simple
devote, she decided to devote her entire afternoon to studying for the exam,gpt-simple
devote, he is a dedicated teacher who devotes his time and energy to his students,gpt-simple
devote, the organization is committed to devoting resources to improving education in underprivileged communities,gpt-simple
devote, she chose to devote her career to helping others and working in the non-profit sector,gpt-simple
devote, the team is determined to devote themselves to achieving their goal of winning the championship,gpt-simple
father, my father is the most important person in my life,gpt-simple
father, he is a loving and caring father,gpt-simple
father, my father works long hours to provide for our family,gpt-simple
father, i inherited my sense of humor from my father,gpt-simple
father, the father of the bride gave a touching speech at the wedding,gpt-simple
quest, he embarked on a quest to find the lost treasure,gpt-simple
quest, the knight went on a noble quest to rescue the princess,gpt-simple
quest, she dedicated her life to the quest for knowledge and enlightenment,gpt-simple
quest, the scientist's quest for a cure to the disease lasted for years,gpt-simple
quest, the protagonist's quest for justice drove the entire plot of the story,gpt-simple
chance," there is a chance of rain tomorrow, so don't forget your umbrella",gpt-simple
chance," i'll take a chance and apply for the job, even though i'm not completely qualified",gpt-simple
chance, the lottery gives people a chance to win big prizes with a small investment,gpt-simple
chance, i bumped into an old friend by chance at the grocery store,gpt-simple
chance," if you don't study, there's a chance you'll fail the exam",gpt-simple
gather, i need to gather all the ingredients before i start cooking,gpt-simple
gather, the crowd started to gather in the town square to protest the new law,gpt-simple
gather, we should gather around the table and discuss our plans for the project,gpt-simple
gather, the kids gathered around the fireplace to listen to their grandfather's stories,gpt-simple
gather, she used a basket to gather fresh flowers from the garden,gpt-simple
cloud," the sky was filled with dark, ominous clouds",gpt-simple
cloud," she spent hours staring at the clouds, trying to find shapes and figures in them",gpt-simple
cloud," the data was stored in a cloud, accessible from any device with an internet connection",gpt-simple
cloud, the speaker's words were met with a cloud of confusion among the audience,gpt-simple
cloud, the dessert was a light and fluffy cloud of cotton candy,gpt-simple
grill, i love to grill burgers on the barbecue during summer,gpt-simple
grill," the detective grilled the suspect for hours, trying to get a confession",gpt-simple
grill, she used a grill to cook the vegetables to perfection,gpt-simple
grill," we sat outside on the patio, enjoying the warm weather and the smell of the grill",gpt-simple
grill, the chef used a panini grill to make the sandwich crispy and delicious,gpt-simple
sneak, she decided to sneak into the movie theater without buying a ticket,gpt-simple
sneak, the cat tried to sneak up on the bird perched on the fence,gpt-simple
sneak, he always had a knack for sneaking out of the house without his parents noticing,gpt-simple
sneak, the detective had to sneak into the suspect's apartment to gather evidence,gpt-simple
sneak, the spy used various disguises to sneak past the security guards undetected,gpt-simple
disperse, the police used tear gas to disperse the crowd of protesters,gpt-simple
disperse," after the meeting, everyone began to disperse and go their separate ways",gpt-simple
disperse," the wind caused the clouds to disperse, revealing the bright blue sky",gpt-simple
disperse, the teacher asked the students to disperse into small groups for a group activity,gpt-simple
disperse, the dispersal of seeds by birds helps in the propagation of plants,gpt-simple
society, the local society organized a fundraiser to support the homeless shelter,gpt-simple
society," in some cultures, the caste system determines an individual's place in society",gpt-simple
society, social media platforms have transformed the way we interact and connect with others in society,gpt-simple
society, the study of anthropology focuses on understanding different societies and their cultural practices,gpt-simple
society, the scientific community plays a crucial role in advancing knowledge and progress in society,gpt-simple
munch, i could hear my dog munching on his food in the kitchen,gpt-simple
munch," the children sat on the grass, munching on their sandwiches during the picnic",gpt-simple
munch, the movie theater was filled with the sound of people munching on popcorn,gpt-simple
munch, she absentmindedly munched on her pencil while studying for the exam,gpt-simple
munch," the horse grazed peacefully, munching on the grass in the meadow",gpt-simple
variation," the jazz band added a unique variation to the classic song, making it more lively and upbeat",gpt-simple
variation," the weather forecast predicted a variation in temperature, with highs reaching 90 degrees fahrenheit during the day and dropping to 60 degrees fahrenheit at night",gpt-simple
variation, the artist used different shades of blue to create a beautiful variation of colors in her painting,gpt-simple
variation," the restaurant offers a variety of pasta dishes, allowing customers to choose their preferred variations with different sauces and toppings",gpt-simple
variation, the biologist studied the genetic variation among different populations of birds to understand their adaptations to different environments,gpt-simple
smell, i love the smell of freshly baked bread in the morning,gpt-simple
smell, she couldn't stand the smell of cigarette smoke,gpt-simple
smell, the flowers in the garden have a delightful smell,gpt-simple
smell, he could smell the aroma of coffee as soon as he entered the café,gpt-simple
smell, the foul smell coming from the garbage bin made her gag,gpt-simple
spanish, i am currently learning spanish at my local language school,gpt-simple
spanish, the spanish team won the world cup in 2010,gpt-simple
spanish, my favorite restaurant serves delicious spanish tapas,gpt-simple
spanish, she has a spanish accent when she speaks english,gpt-simple
spanish, the spanish inquisition was a dark period in history,gpt-simple
squeeze, i had to squeeze through the narrow gap between the two cars parked on the street,gpt-simple
squeeze, she squeezed the lemon to extract all of its juice,gpt-simple
squeeze," the crowd began to squeeze into the small theater, eager to see the show",gpt-simple
squeeze, he gave me a tight squeeze to show his affection,gpt-simple
squeeze, the financial crisis caused many companies to squeeze their budgets and cut costs,gpt-simple
interest, she has a keen interest in photography and spends hours capturing beautiful moments,gpt-simple
interest," the bank offers a high interest rate on their savings accounts, making it an attractive option for investors",gpt-simple
interest, his interest in politics led him to pursue a career in government,gpt-simple
interest," the detective showed great interest in the mysterious case, determined to solve it",gpt-simple
interest, i have a personal interest in this project as it aligns with my passion for environmental conservation,gpt-simple
ashamed, she felt deeply ashamed of her actions and apologized to her friends,gpt-simple
ashamed, he was too proud to admit his mistake and refused to feel ashamed,gpt-simple
ashamed, they were ashamed of their behavior at the party and decided to change their ways,gpt-simple
ashamed," the little boy blushed and looked down, feeling ashamed for breaking the vase",gpt-simple
ashamed, she couldn't help but feel ashamed when her boss reprimanded her in front of her colleagues,gpt-simple
street, i walked down the street and admired the charming houses on either side,gpt-simple
street, the street was bustling with activity as vendors set up their stalls for the market,gpt-simple
street, she parked her car on the side of the street and hurriedly ran into the store,gpt-simple
street, the street was named after a famous historical figure who had once lived in the area,gpt-simple
street," the streetlights illuminated the dark street, creating a warm and inviting atmosphere",gpt-simple
deal, i made a great deal at the flea market and bought a vintage record player for only $20,gpt-simple
deal, the two countries were able to negotiate a trade deal that would benefit both economies,gpt-simple
deal, he had to deal with a difficult customer who was unhappy with the service,gpt-simple
deal," she was dealt a bad hand in life, but she managed to overcome all the challenges",gpt-simple
deal, let's make a deal - i'll wash the dishes if you take out the trash,gpt-simple
belief, her belief in herself allowed her to overcome any obstacle in her path,gpt-simple
belief, the religious ceremony was a testament to their shared belief in a higher power,gpt-simple
belief," despite the lack of evidence, he held onto his belief that aliens existed",gpt-simple
belief, the professor's belief in the importance of education was evident in his passionate lectures,gpt-simple
belief, she questioned her belief in the existence of true love after a series of heartbreaks,gpt-simple
trim, she decided to trim her hair to get rid of split ends,gpt-simple
trim, the tailor offered to trim the pants to fit perfectly,gpt-simple
trim, he used a sharp knife to trim the excess fat off the meat,gpt-simple
trim, the gardener trimmed the bushes to maintain their shape,gpt-simple
trim, the decorator used a white trim to accentuate the edges of the room,gpt-simple
engage, she was so engrossed in her book that she didn't hear me calling her name,gpt-simple
engage, the company decided to engage a new marketing strategy to attract more customers,gpt-simple
engage, the couple announced their engagement and set a date for their wedding,gpt-simple
engage, the teacher tried to engage the students in a lively discussion about the topic,gpt-simple
engage, he was able to engage the audience with his captivating storytelling skills,gpt-simple
water, i filled up a glass of water to quench my thirst,gpt-simple
water, the boat sailed smoothly across the calm waters of the lake,gpt-simple
water, the farmer watered his crops to help them grow,gpt-simple
water, she enjoys swimming in the ocean and feeling the water against her skin,gpt-simple
water," the water in the pot started boiling, indicating that it was ready for cooking",gpt-simple
airplane, i looked up at the sky and saw a small airplane flying overhead,gpt-simple
airplane, the airport was bustling with people waiting to board their respective airplanes,gpt-simple
airplane, my fear of heights prevented me from ever stepping foot on an airplane,gpt-simple
airplane, the mechanic carefully inspected the airplane's engine before the flight,gpt-simple
airplane, the movie depicted a thrilling scene of two airplanes engaged in a dogfight,gpt-simple
shoulder," she felt a tap on her shoulder, and turned around to see who it was",gpt-simple
shoulder," he was carrying a heavy load on his shoulder, struggling to maintain his balance",gpt-simple
shoulder," the surgeon carefully inserted the needle into the patient's shoulder, numbing the area for the procedure",gpt-simple
shoulder, the hiker enjoyed the breathtaking view of the valley from the shoulder of the mountain,gpt-simple
shoulder," she shrugged her shoulder in response to his question, indicating that she didn't know the answer",gpt-simple
coffee, i start my day with a hot cup of coffee to wake me up,gpt-simple
coffee, the café on the corner serves the best coffee in town,gpt-simple
coffee, would you like some coffee with your dessert?,gpt-simple
coffee, i need to buy some ground coffee to make a fresh pot in the morning,gpt-simple
coffee, she spilled her coffee all over her new dress and was devastated,gpt-simple
thing, i forgot to bring my favorite thing to the party,gpt-simple
thing, can you please pass me that thing on the table?,gpt-simple
thing, the best thing about traveling is experiencing new cultures,gpt-simple
thing, she said some hurtful things that she didn't really mean,gpt-simple
thing, let's go do that thing we've been talking about for ages,gpt-simple
solo, she performed a beautiful solo during the ballet recital,gpt-simple
solo, he decided to take a solo trip to europe to explore different countries,gpt-simple
solo, the guitarist played an incredible guitar solo during the concert,gpt-simple
solo, she prefers to work solo rather than in a team,gpt-simple
solo, the pilot successfully completed a solo flight across the atlantic,gpt-simple
permit, i need to obtain a permit to build a new deck on my house,gpt-simple
permit, the zoo does not permit visitors to feed the animals,gpt-simple
permit, the teacher will only permit students to leave the classroom if they have a valid reason,gpt-simple
permit, the new law will permit smoking only in designated outdoor areas,gpt-simple
permit, the company does not permit employees to use personal phones during working hours,gpt-simple
counter, the bakery installed a new digital counter to keep track of the number of customers,gpt-simple
counter, the teacher asked the students to write an essay with a word counter at the bottom of the page,gpt-simple
counter, the counter in the kitchen was used to prepare meals for large gatherings,gpt-simple
counter, the athlete used a step counter to measure the distance covered during training,gpt-simple
counter, the cashier at the store had a manual counter to keep track of the number of items sold,gpt-simple
mural, the artist painted a beautiful mural depicting scenes from the city's history on the side of the building,gpt-simple
mural, the school decided to commission a mural to brighten up the hallway and inspire the students,gpt-simple
