LEMMA,DEFINITION,EXAMPLE,POS
transplantation,an operation moving an organ from one organism (the donor) to another (the recipient),the long-term results of cardiac transplantation are now excellent,n
badly,in a disobedient or naughty way,he behaved badly in school,r
unnerved,deprived of courage and strength,"the steeplejack, exhausted and unnerved, couldn't hold on to his dangerous perch much longer",s
behalf,for someone's benefit (usually expressed as `in behalf' rather than `on behalf' and usually with a possessive),spoke a good word in his friend's behalf,n
bank,the funds held by a gambling house or the dealer in some gambling games,he tried to break the bank at Monte Carlo,n
fast,quickly or rapidly (often used as a combining form),fast-opening (or fast-closing) shutters,r
semantic,of or relating to meaning or the study of meaning,semantic analysis,a
fecund,intellectually productive,a fecund imagination,s
clay,the dead body of a human being,honor comes to bless the turf that wraps their clay,n
discussion,an extended communication (often interactive) dealing with some particular topic,the book contains an excellent discussion of modal logic,n
heartlessly,in a heartless manner,she behaves rather heartlessly toward her admirers,r
neotenic,of or relating to or characterized by neoteny,neotenic development,a
bronchial,relating to or associated with the bronchi,bronchial tubes,a
militarily,with respect to the military,on a militarily significant scale,r
vulnerable,susceptible to criticism or persuasion or temptation,vulnerable to bribery,s
territory,an area of knowledge or interest,his questions covered a lot of territory,n
jaunty,"having a cheerful, lively, and self-confident air",a jaunty optimist,s
bareback,riding without a saddle,a bareback rider,s
bacterial,relating to or caused by bacteria,bacterial infection,a
submissive,abjectly submissive; characteristic of a slave or servant,she has become submissive and subservient,s
impressionistic,of or relating to or based on an impression rather than on facts or reasoning,she had impressionistic memories of her childhood,a
lift,plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised,some actresses have more than one face lift,n
pinch,a painful or straitened circumstance,the pinch of the recession,n
line,the principal activity in your life that you do to earn money,he's not in my line of business,n
duplication,the act of copying or making a duplicate (or duplicates) of something,this kind of duplication is wasteful,n
external,purely outward or superficial,"an external concern for reputation""- A.R.Gurney,Jr.",s
proof,any factual evidence that helps to establish the truth of something,"if you have any proof for what you say, now is the time to produce it",n
perturbation,"activity that is a malfunction, intrusion, or interruption",the term `distress' connotes some degree of perturbation and emotional upset,n
mightily,powerfully or vigorously,he strove mightily to achieve a better position in life,r
antagonistic,characterized by antagonism or antipathy,slaves antagonistic to their masters,s
virulent,extremely poisonous or injurious; producing venom,a virulent insect bite,s
order,"a request for something to be made, supplied, or served",I gave the waiter my order,n
church,the body of people who attend or belong to a particular local church,our church is hosting a picnic next week,n
practically,almost; nearly,there was practically no garden at all,r
Zurich,the largest city in Switzerland; located in the northern part of the country,Zurich is the center of the German-speaking part of Switzerland,n
virtual,being actually such in almost every respect,the once elegant temple lay in virtual ruin,s
running,(of fluids) moving or issuing in a stream,as mountain stream with freely running water,a
anticholinergic,inhibiting or blocking the action of acetylcholine at a receptor site,anticholinergic drugs,a
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,of arbitrary size and shape,a
corrigible,capable of being corrected or set right,a corrigible defect,a
gory,covered with blood,a gory dagger,s
personal,of or arising from personality,personal magnetism,a
scrotal,relating to or having or lying within a scrotum,scrotal testes,a
blind,unable or unwilling to perceive or understand,blind to the consequences of their actions,s
case,an occurrence of something,it was a case of bad judgment,n
fighting,engaged in or ready for military or naval operations,review the fighting forces,s
softness,a state of declining economic condition,he attributes the disappointing results to softness in the economy,n
macaronic,of or containing a mixture of Latin words and vernacular words jumbled together,macaronic verse,a
discerning,able to make or detect effects of great subtlety; sensitive,discerning taste,s
dire,fraught with extreme danger; nearly hopeless,a dire emergency,s
myopic,lacking foresight or scope,myopic thinking,s
pruner,a worker who thins out and trims trees and shrubs,untouched by the pruner's axe,n
tactful,showing skill and sensitivity in dealing with people,a tactful way of correcting someone,s
lymphocytic,of or relating to lymphocytes,lymphocytic leukemia,a
clean,exhibiting or calling for sportsmanship or fair play,a clean fight,s
inarticulate,without or deprived of the use of speech or words,remained stupidly inarticulate and saying something noncommittal,a
common,to be expected; standard,common decency,s
quizzical,playfully vexing (especially by ridicule),"his face wore a somewhat quizzical almost impertinent air""- Lawrence Durrell",s
extent,the distance or area or volume over which something extends,the vast extent of the desert,n
simply,in a simple manner; without extravagance or embellishment,they lived very simply,r
suborbital,situated on or below the floor of the eye socket,a suborbital bone,a
chapter,a local branch of some fraternity or association,he joined the Atlanta chapter,n
puffy,abnormally distended especially by fluids or gas,puffy tumid flesh,s
self-defeating,acting to defeat its own purpose,it is self-defeating...to ignore the progress of events,s
acrocentric,having a subterminal centromere,an acrocentric chromosome,a
laced,closed with a lace,snugly laced shoes,a
defective,markedly subnormal in structure or function or intelligence or behavior,defective speech,s
activated,(military) set up and placed on active assignment,a newly activated unit,s
major,greater in number or size or amount,a major portion of the winnings,a
offensive,violating or tending to violate or offend against,considered such depravity offensive against all laws of humanity,s
slippy,causing or tending to cause things to slip or slide,the streets are still slippy from the rain,a
insular,narrowly restricted in outlook or scope,insular attitudes toward foreigners,s
distinct,clearly or sharply defined to the mind,trenchant distinctions between right and wrong,s
home,housing that someone is living in,they raise money to provide homes for the homeless,n
nameless,being or having an unknown or unnamed source,corporations responsible to nameless owners,s
consequence,having important effects or influence,that result is of no consequence,n
hawala,an underground banking system based on trust whereby money can be made available internationally without actually moving it or leaving a record of the transaction,terrorists make extensive use of hawala,n
decent,conforming to conventions of sexual behavior,"speech in this circle, if not always decent, never became lewd""- George Santayana",a
uninvited,unwelcome and unwanted,uninvited guests,s
snap,a fastener used on clothing; fastens with a snapping sound,children can manage snaps better than buttons,n
terminated,having come or been brought to a conclusion,the abruptly terminated interview,s
perceived,detected by means of the senses,a perceived difference in temperature,s
distrustfully,with distrust,she looked at him distrustfully,r
independence,the successful ending of the American Revolution,they maintained close relations with England even after independence,n
hands-on,involving active participation,he's a hands-on manager,s
reward,a recompense for worthy acts or retribution for wrongdoing,virtue is its own reward,n
dereliction,a tendency to be negligent and uncaring,his derelictions were not really intended as crimes,n
acceptance,the act of taking something that is offered,he anticipated their acceptance of his offer,n
lot,your overall circumstances or condition in life (including everything that happens to you),has a happy lot,n
confounded,perplexed by many conflicting situations or statements; filled with bewilderment,a cloudy and confounded philosopher,s
valor,the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle),he received a medal for valor,n
igneous,"produced under conditions involving intense heat; especially from molten magma""",igneous fusion is fusion by heat alone,a
rendition,a performance of a musical composition or a dramatic role etc.,they heard a live rendition of three pieces by Schubert,n
earthborn,of earthly origin (as mortals are),earthborn existence,s
fixed,fixed and unmoving,with eyes set in a fixed glassy stare,s
oral,of or involving the mouth or mouth region or the surface on which the mouth is located,the oral mucous membrane,a
envelope,the maximum operating capability of a system (especially an aircraft),test pilots try to push the envelope,n
despairing,arising from or marked by despair or loss of hope,a despairing view of the world situation,s
fastidiousness,the trait of being meticulous about matters of taste or style,neatness and fastidiousness of dress,n
beaut,an outstanding example of its kind,when I make a mistake it's a beaut,n
father,the founder of a family,keep the faith of our forefathers,n
unrelaxed,nor relaxed,"his life was drawing to a close in baffled zeal and unrelaxed strain""- U.B.Phillips",s
uncleared,not cleared; not rid of objects or obstructions,uncleared land,a
set,a group of things of the same kind that belong together and are so used,a set of golf clubs,n
unapproachable,discouraging intimacies; reserved,an unapproachable executive,a
hard,dispassionate; ,took a hard look,a
jemmy,a short crowbar,in Britain they call a jimmy and jemmy,n
limit,the greatest amount of something that is possible or allowed,there are limits on the amount you can bet,n
curious,beyond or deviating from the usual or expected,a curious hybrid accent,s
distortion,a change (usually undesired) in the waveform of an acoustic or analog electrical signal; the difference between two measurements of a signal (as between the input and output signal),heavy metal guitar players use vacuum tube amplifiers to produce extreme distortion,n
free,unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion,a free electron,a
awed,inspired by a feeling of fearful wonderment or reverence,awed by the silence,s
weak,likely to fail under stress or pressure,the weak link in the chain,s
garbage,a receptacle where waste can be discarded,she tossed the moldy bread into the garbage,n
tricuspid,having three cusps or points (especially a molar tooth),tricuspid molar,s
text,a book prepared for use in schools or colleges,his economics textbook is in its tenth edition,n
total,complete in extent or degree and in every particular,a total eclipse,s
lipped,having a lip or lips,"a virgin purest lipped""- John Keats",a
country,the people who live in a nation or country,the whole country worshipped him,n
thereto,to that,with all the appurtenances fitting thereto,r
related,being connected either logically or causally or by shared characteristics,school-related activities,a
waste,any materials unused and rejected as worthless or unwanted,they collect the waste once a week,n
get,enter or assume a certain state or condition,It must be getting more serious,v
beautiful,delighting the senses or exciting intellectual or emotional admiration,a beautiful party,a
welfare,governmental provision of economic assistance to persons in need,she lives on welfare,n
stream,a steady flow of a fluid (usually from natural causes),he felt a stream of air,n
giving,the imparting of news or promises etc.,he gave us the news and made a great show of the giving,n
flat,having a relatively broad surface in relation to depth or thickness,flat computer monitors,s
standby,ready for emergency use,a standby crew,s
clad,wearing or provided with clothing; sometimes used in combination,white-clad nurses,a
favorable,encouraging or approving or pleasing,a favorable reply,a
undercover,conducted with or marked by hidden aims or methods,an undercover investigation,s
strike,cause to form (an electric arc) between electrodes of an arc lamp,strike an arc,v
mechanical,relating to or concerned with machinery or tools,mechanical design,a
wide-ranging,including much,the pianist's wide-ranging repertoire,s
disturbing,causing distress or worry or anxiety,distressing (or disturbing) news,s
implicit,being without doubt or reserve,implicit trust,s
unsolved,not solved,many crimes remain unsolved,a
shadowy,filled with shade,we sat on rocks in a shadowy cove,s
merging,the act of joining together as one,the merging of the two groups occurred quickly,n
religious,extremely scrupulous and conscientious,religious in observing the rules of health,s
footprint,a trace suggesting that something was once present or felt or otherwise important,the footprints of an earlier civilization,n
resolution,something settled or resolved; the outcome of decision making,they never did achieve a final resolution of their differences,n
vegetate,propagate asexually,The bacterial growth vegetated along,v
whiny,habitually complaining,a whiny child,s
Baghdad,capital and largest city of Iraq; located on the Tigris River,Baghdad is one of the great cities of the Muslim world,n
finished,ended or brought to an end,gave me the finished manuscript,a
oration,an instance of oratory,he delivered an oration on the decline of family values,n
linear,of a circuit or device having an output that is proportional to the input,linear amplifier,a
omissive,characterized by omissions,omissive crimes,a
according,(followed by `to') as reported or stated by,according to historians,s
departmental,of or relating to a department,departmental policy,a
worthless,lacking in usefulness or value,a worthless idler,a
seat,furniture that is designed for sitting on,there were not enough seats for all the guests,n
scurrilously,in a scurrilously manner,one paper scurrilously described how Edward was neglecting a bereaved mother to dance attendance on Wally,r
well-ordered,ordered well,well-ordered work habits,s
frustration,a feeling of annoyance at being hindered or criticized,her constant complaints were the main source of his frustration,n
exotic,being or from or characteristic of another place or part of the world,exotic plants in a greenhouse,s
square,in a straight direct way,looked him squarely in the eye,r
apopemptic,addressed to one who is departing,apopemptic hymns,a
peaceful,not disturbed by strife or turmoil or war,a peaceful nation,a
lowness,a low or small degree of any quality (amount or force or temperature etc.),he took advantage of the lowness of interest rates,n
gamely,in a plucky manner,"he was seen by a shepherd, gamely negotiating a particularly tricky section of the mountain road to San Doloroso",r
resistant,impervious to being affected,resistant to the effects of heat,s
enlightened,characterized by full comprehension of the problem involved,an enlightened electorate,s
seat,the location (metaphorically speaking) where something is based,the brain is said to be the seat of reason,n
Eritrean,of or relating to or characteristic of Eritrea or its people,Eritrean civil war,a
change,cause to change; make different; cause a transformation,The discussion has changed my thinking about the issue,v
leisure,freedom to choose a pastime or enjoyable activity,he lacked the leisure for golf,n
ladylike,befitting a woman of good breeding,ladylike manners,s
Welsh,of or relating to or characteristic of Wales or its people or their language,Welsh syntax,a
kid,a young person of either sex,they're just kids,n
artwork,photographs or other visual representations in a printed publication,the publisher was responsible for all the artwork in the book,n
slushy,effusively or insincerely emotional,slushy poetry,s
breeding,the result of good upbringing (especially knowledge of correct social behavior),a woman of breeding and refinement,n
unsuccessfully,without success,she tried unsuccessfully to persuade him to buy a new car,r
repulsive,possessing the ability to repel,a repulsive force,a
carrot,"promise of reward as in ""carrot and stick""; ",used the carrot of subsidized housing for the workers to get their vote,n
floppy,a small plastic magnetic disk enclosed in a stiff envelope with a radial slit; used to store data or programs for a microcomputer,floppy disks are noted for their relatively slow speed and small capacity and low price,n
union,an organization of employees formed to bargain with the employer,you have to join the union in order to get a job,n
uninitiate,people who have not been introduced to the mysteries of some field or activity,it diverts the attention of the uninitiate,n
diffident,lacking self-confidence,stood in the doorway diffident and abashed,a
versatile,able to move freely in all directions,an insect's versatile antennae can move up and down or laterally,s
armless,having no arms,the armless Venus de Milo,a
mirthful,arousing or provoking laughter,a mirthful experience,s
work,activity directed toward making or doing something,she checked several points needing further work,n
on-the-job,relating to or associated with a job or employment,on-the-job requirements,a
translunary,situated beyond the moon or its orbit around the earth,who can imagine a translunary visitor in Times Square?,a
powerful,having great power or force or potency or effect,the most powerful government in western Europe,a
retrorse,bent or curved backward or downward,leaves with retrorse barbs,a
inclusive,including much or everything; and especially including stated limits,an inclusive fee,a
senseless,not marked by the use of reason,a senseless act,s
solid,of one substance or character throughout,carved out of solid rock,s
smoking,emitting smoke in great volume,a smoking fireplace,s
happily,in an unexpectedly lucky way,happily he was not injured,r
partible,(of e.g. property) capable of being parted or divided,a partible estate,s
world,the 3rd planet from the sun; the planet we live on,he sailed around the world,n
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),pizza has too much fat,n
hot,newest or most recent,red-hot information,s
bag,an activity that you like or at which you are superior,his bag now is learning to play golf,n
bromidic,dull and tiresome but with pretensions of significance or originality,bromidic sermons,s
sedate,dignified and somber in manner or character and committed to keeping promises,a quiet sedate nature,s
convincingly,in a convincing manner,he argued convincingly,r
high,standing above others in quality or position,the high priest,s
refreshingly,in a pleasantly novel manner,she was refreshingly free from shyness,r
empiric,derived from experiment and observation rather than theory,empirical data,a
closing,final or ending,the closing stages of the election,a
telescopically,in a telescopic manner,each of the four legs contains a simple screw jack with a thrust bearing that is operated telescopically inside of two tubes,r
sesquipedalian,(of words) long and ponderous; having many syllables,sesquipedalian technical terms,s
dull,not keenly felt,dull pain,a
housewrecker,a wrecker of houses,in England a housewrecker is called a housebreaker,n
consciously,with awareness,she consciously played with the idea of inviting them,r
advisory,an announcement that usually advises or warns the public of some threat,a frost advisory,n
back,in or to or toward an original condition,he went back to sleep,r
ambitious,requiring full use of your abilities or resources,ambitious schedule,s
simple,unornamented,her black dress--simple to austerity,s
pulchritudinous,used of persons only; having great physical beauty,pulchritudinous movie stars,s
otherwise,in other respects or ways,an otherwise hopeless situation,r
confident,having or marked by confidence or assurance,a confident reply,a
unsullied,spotlessly clean and fresh,the unsullied snow of mountains,s
polished,perfected or made shiny and smooth,freshly polished silver,a
transalpine,on or relating to or characteristic of the region or peoples beyond the Alps from Italy (or north of the Alps),ancient transalpine Gaul was an area northwest of the Alps and included modern France and Belgium,s
triangular,having three angles; forming or shaped like a triangle,a triangular figure,s
irony,incongruity between what might be expected and what actually occurs,the irony of Ireland's copying the nation she most hated,n
impossible,something that cannot be done,his assignment verged on the impossible,n
surge,a sudden or abrupt strong increase,an upsurge in violent crime,n
match,something that resembles or harmonizes with,that tie makes a good match with your jacket,n
specific,(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique,a specific and detailed account of the accident,a
perilous,fraught with danger,a perilous voyage across the Atlantic in a small boat,s
surgery,a room where a doctor or dentist can be consulted,he read the warning in the doctor's surgery,n
makeshift,done or made using whatever is available,the rock served as a makeshift hammer,s
untrustworthy,not worthy of trust or belief,an untrustworthy person,a
cleverly,in a clever manner,they were cleverly arranged,r
upside-down,being in such a position that top and bottom are reversed,an upside-down cake,s
rage,something that is desired intensely,his rage for fame destroyed him,n
unaccompanied,(of a state or an event) taking place without something specified occurring at the same time,a headache unaccompanied by other symptoms,s
want,the state of needing something that is absent or unavailable,for want of a nail the shoe was lost,n
mercantile,relating to or characteristic of trade or traders,"the mercantile North was forging ahead""- Van Wyck Brooks",s
raftered,having the rafters especially having them visible,a raftered ceiling,s
bottom,the lowest part of anything,they started at the bottom of the hill,n
faith,complete confidence in a person or plan etc,he cherished the faith of a good woman,n
sake,the purpose of achieving or obtaining,for the sake of argument,n
cheerless,causing sad feelings of gloom and inadequacy,something cheerless about the room,a
under,located below or beneath something else,the under parts of a machine,s
practical,concerned with actual use or practice,he is a very practical person,a
perforate,having a hole cut through,a perforated eardrum,s
smothering,causing difficulty in breathing especially through lack of fresh air and presence of heat,the smothering soft voices,s
last,most_recently,I saw him last in London,r
quickening,the process of showing signs of life,the quickening of seed that will become ripe grain,n
acceptant,accepting willingly,an acceptant type of mind,s
designed,done or made or performed with purpose and intent,"style...is more than the deliberate and designed creation""- Havelock Ellis",a
jumper,a person who jumps,as the jumper neared the ground he lost control,n
flighted,having feathers,arrows flighted argent,s
abstinent,self-restraining; not indulging an appetite especially for food or drink,not totally abstinent but abstemious,s
shaky,vibrating slightly and irregularly; as e.g. with fear or cold or like the leaves of an aspen in a breeze,seemed shaky on her feet,s
synesthetic,relating to or experiencing synesthesia; involving more than one sense,synesthetic response to music,a
richness,the property of being extremely abundant,the idiomatic richness of English,n
imputation,a statement attributing something dishonest (especially a criminal offense),he denied the imputation,n
clouded,mentally disordered,a mind clouded by sorrow,s
consolidate,form into a solid mass or whole,The mud had consolidated overnight,v
development,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),the slow development of her skill as a writer,n
furious,marked by extreme and violent energy,a furious battle,s
vacant,without an occupant or incumbent,the throne is never vacant,s
individual,separate and distinct from others of the same kind,mark the individual pages,s
yielding,lacking stiffness and giving way to pressure,a deep yielding layer of foam rubber,s
withering,making light of,"to compliments inflated I've a withering reply""- W.S.Gilbert",s
black-and-white,of a situation that is sharply divided into mutually exclusive categories,he rejected a black-and-white world,s
slippery,causing or tending to cause things to slip or slide,slippery sidewalks,a
orthostatic,pertaining to an upright standing posture,orthostatic hypotension,s
square,the product of two equal terms,gravity is inversely proportional to the square of the distance,n
common,commonly encountered,a common (or familiar) complaint,s
glittering,having brief brilliant points or flashes of light,shop window full of glittering Christmas trees,s
knock-down-and-drag-out,extremely violent,a knock-down-and-drag-out fight,s
iodinating,combining or causing to combine with iodine,the in vivo iodinating mechanism,a
inexpungible,not capable of being expunged,"the inexpungible scent of a bottle of perfume he had broken""- Louis Auchincloss",s
tee,the starting place for each hole on a golf course,they were waiting on the first tee,n
profound,situated at or extending to great depth; too deep to have been sounded or plumbed,the profound depths of the sea,s
slumbery,inclined to or marked by drowsiness,`slumbery' is archaic,s
film,a medium that disseminates moving pictures,film coverage of sporting events,n
mask,activity that tries to conceal something,they moved in under a mask of friendship,n
offshore,at some distance from the shore,an offshore island,s
concession,a point conceded or yielded,they won all the concessions they asked for,n
premeditated,characterized by deliberate purpose and some degree of planning,a premeditated crime,a
raiding,characterized by plundering or pillaging or marauding,a raiding party,s
inwardness,preoccupation especially with one's attitudes and ethical or ideological values,"inwardness is what an Englishman quite simply has, painlessly, as a birthright",n
demanding,requiring more than usually expected or thought due; especially great patience and effort and skill,a baby can be so demanding,a
ancestral,inherited or inheritable by established rules (usually legal rules) of descent,ancestral lore,s
unconcerned,easy in mind; not worried,the prisoner seems entirely unconcerned as to the outcome of the examination,s
routine,a short theatrical performance that is part of a longer program,she had a catchy little routine,n
festival,an organized series of acts and performances (usually in one place),a drama festival,n
hometown,the town (or city) where you grew up or where you have your principal residence,he never went back to his hometown again,n
irresponsible,showing lack of care for consequences,hasty and irresponsible action,a
integrated,not segregated; designated as available to all races or groups,integrated schools,a
womanhood,women as a class,it's an insult to American womanhood,n
proportion,"the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree",a dry martini has a large proportion of gin,n
nuclear,constituting or like a nucleus,annexation of the suburban fringe by the nuclear metropolis,s
incredibly,not easy to believe,behind you the coastal hills plunge to the incredibly blue sea backed by the Turkish mountains,r
liable,(often followed by `to') likely to be affected with,liable to diabetes,s
neatly,with neatness,she put the slippers under the bed neatly,r
use,(law) the exercise of the legal right to enjoy the benefits of owning property,we were given the use of his boat,n
magazine,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it,it takes several years before a magazine starts to break even or make money,n
uneventfully,in an uneventful manner,the space shuttle landed uneventfully,r
here,at this time; now,we'll adjourn here for lunch and discuss the remaining issues this afternoon,r
ezed,the 26th letter of the Roman alphabet,the British call Z zed and the Scots call it ezed but Americans call it zee,n
badly,without skill or in a displeasing manner,I think he paints very badly,r
glum,showing a brooding ill humor,"a glum, hopeless shrug",s
pupate,develop into a pupa,the insect larva pupate,v
sickening,causing or able to cause nausea,a sickening stench,s
over-the-counter,(of securities) not traded on a stock exchange,over-the-counter stocks,s
traceable,capable of being traced or tracked,the traceable course of an ancient wall,a
notable,widely known and esteemed,a notable historian,s
chain,a linked or connected series of objects,a chain of daisies,n
ahorse,traveling on horseback,a file of men ahorseback passed by,s
glibly,with superficial plausibility,he talked glibly,r
annuity,income from capital investment paid in a series of regular payments,his retirement fund was set up to be paid as an annuity,n
haunting,continually recurring to the mind,"the cathedral organ and the distant voices have a haunting beauty""- Claudia Cassidy",s
disinvest,remove (someone's or one's own) clothes,He disinvested himself of his garments,v
legal,of or relating to jurisprudence,legal loophole,a
pacific,promoting peace,the result of this pacific policy was that no troops were called up,s
on,in operation or operational,the switch is in the on position,a
quarry,a surface excavation for extracting stone or slate,a British term for `quarry' is `stone pit',n
sesquipedalian,given to the overuse of long words,sesquipedalian orators,s
accordingly,in accordance with,she acted accordingly,r
scan,an image produced by scanning,he analyzed the brain scan,n
vapid,lacking taste or flavor or tang,vapid beer,s
hot,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm,a hot love affair,a
bar,(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried,spectators were not allowed past the bar,n
whimsy,an odd or fanciful or capricious idea,he had a whimsy about flying to the moon,n
balconied,having balconies or a balcony,the balconied houses of New Orleans,a
woman,a human female employed to do housework,I have a woman who comes in four hours a day while I write,n
directionality,the property of being directional or maintaining a direction,the directionality of written English is from left to right,n
Cyrillic,relating to or written in the alphabet used for writing Slavic languages,Cyrillic writing,a
intermeshed,(used of toothed parts or gears) interlocked and interacting,intermeshed twin rotors,s
course,general line of orientation,the river takes a southern course,n
bloodless,free from blood or bloodshed,bloodless surgery,a
square,providing abundant nourishment,four square meals a day,s
plummy,(of a voice) affectedly mellow and rich,the radio announcer's plummy voice,s
megabucks,a large sum of money (especially as pay or profit),they sank megabucks into their new house,n
working,actively engaged in paid work,a working mother,s
floor,the parliamentary right to address an assembly,the chairman granted him the floor,n
neighborhood,an area within a city or town that has some distinctive features (especially one forming a community),an ethnic neighborhood,n
singular,beyond or deviating from the usual or expected,singular behavior,s
geminate,arrange or combine in pairs,The consonants are geminated in these words,v
mistake,an understanding of something that is not correct,make no mistake about his intentions,n
glabrous,having no hair or similar growth; smooth,a glabrous scalp,s
fundus,(anatomy) the base of a hollow organ or that part of the organ farthest from its opening,the uterine fundus,n
insistence,the act of insisting on something,insistence on grammatical correctness is a conservative position,n
fiducial,used as a fixed standard of reference for comparison or measurement,a fiducial point,a
differential,involving or containing one or more derivatives,differential equation,a
failure,inability to discharge all your debts as they come due,fraudulent loans led to the failure of many banks,n
multiplication,a multiplicative increase,this multiplication of cells is a natural correlate of growth,n
offending,offending against or breaking a law or rule,contracts offending against the statute were canceled,a
indecisiveness,the trait of irresolution; a lack of firmness of character or purpose,the king's incurable indecisiveness caused turmoil in his court,n
keep,prevent (food) from rotting,keep potatoes fresh,v
cold,marked by errorless familiarity,had her lines cold before rehearsals started,s
attractor,a characteristic that provides pleasure and attracts,flowers are an attractor for bees,n
round,(often plural) a series of professional calls (usually in a set order),we enjoyed our round of the local bars,n
interrelationship,mutual or reciprocal relation or relatedness,interrelationships of animal structure and function,n
tight,of such close construction as to be impermeable,a tight roof,a
state,the way something is with respect to its main attributes,the current state of knowledge,n
radio-controlled,operated and guided by radio,a radio-controlled airplane,s
type,a subdivision of a particular kind of thing,what type of sculpture do you prefer?,n
tricolor,having or involving three colors,tricolor plumage,s
sleepy,ready to fall asleep,a sleepy-eyed child with drooping eyelids,s
brotherly,like or characteristic of or befitting a brother,brotherly feelings,a
southernmost,situated farthest south,Key West is the southernmost city in the continental United States,s
dud,an event that fails badly or is totally ineffectual,the meeting was a dud as far as new business was concerned,n
indwelling,existing or residing as an inner activating spirit or force or principle,an indwelling goodness,s
wear,be dressed in,She was wearing yellow that day,v
unattended,lacking accompaniment or a guard or escort,problems unattended with danger,s
nose,a natural skill,he has a nose for good deals,n
double,consisting of or involving two parts or components usually in pairs,duple (or double) time consists of two (or a multiple of two) beats to a measure,s
spiritual,concerned with or affecting the spirit or soul,spiritual fulfillment,s
dulcet,pleasing to the ear,the dulcet tones of the cello,s
inconsistently,without showing consistency,he acted inconsistently when he bought these stocks,r
generic,(of drugs) not protected by trademark,`Acetaminophen' is the generic form of the proprietary drug `Tylenol',s
mnemonic,of or relating to or involved the practice of aiding the memory,mnemonic device,a
pathological,caused by or evidencing a mentally disturbed condition,a pathological liar,s
wheelless,having no wheels or having no wheeled vehicles,wheelless societies,a
silent,failing to speak or communicate etc when expected to,the witness remained silent,s
ungrateful,disagreeable,"I will not perform the ungrateful task of comparing cases of failure""- Abraham Lincoln",s
proper,"having all the qualities typical of the thing specified; not just a snack""",he finally has a proper job,s
good,having desirable or positive qualities especially those suitable for a thing specified,a good knife is one good for cutting,a
divisional,of or relating to a military division,divisional artillery,a
specifically,in distinction from others,a program specifically for teenagers,r
superincumbent,lying or resting on and exerting pressure on something else,superincumbent layers of dead plants cut off the air and arrested decomposition,s
little,not much,he talked little about his family,r
canicular,of or relating to the dog days of summer,the canicular heat of the Deep South,a
orchestration,an arrangement of events that attempts to achieve a maximum effect,the skillful orchestration of his political campaign,n
distinct,(often followed by `from') not alike; different in nature or quality,the word `nationalism' is used in at least two distinct senses,s
ethnarch,the ruler of a province (as in the Roman Empire and Byzantine Empire) or certain religious rulers with secular authority,the election of Makarios III to archbishop gave him the status of the ethnarch of Cyprus,n
raging,(of the elements) as if showing violent anger,the raging sea,s
dollar,a symbol of commercialism or greed,the dollar sign means little to him,n
picture,a graphic or vivid verbal description,the author gives a depressing picture of life in Poland,n
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,I need some fresh air,n
canaliculate,having thin parallel channels,canaliculate leafstalks of certain plants,s
romantic,belonging to or characteristic of Romanticism or the Romantic Movement in the arts,romantic poetry,a
elongated,drawn out or made longer spatially,Picasso's elongated Don Quixote,s
epic,constituting or having to do with or suggestive of a literary epic,epic tradition,a
visored,having or provided with a visor or a visor of a particular kind,"their spic, red-visored caps",s
sexy,marked by or tending to arouse sexual desire or interest,feeling sexy,a
dullness,lack of sensibility,there was a dullness in his heart,n
infinitely,without bounds,he is infinitely wealthy,r
complicated,difficult to analyze or understand,complicated Middle East politics,s
curious,eager to investigate and learn or learn more (sometimes about others' concerns),curious investigators,a
tall,impressively difficult,a tall order,s
unqualified,legally not qualified or sufficient,a wife is usually considered unqualified to testify against her husband,a
all,completely given to or absorbed by,became all attention,s
discretionary,(especially of funds) not earmarked; available for use as needed,discretionary income,s
processional,intended for use in a procession,processional music,a
battle,an open clash between two opposing groups (or individuals),police tried to control the battle between the pro- and anti-abortion mobs,n
insensate,devoid of feeling and consciousness and animation,insentient (or insensate) stone,a
extended,relatively long in duration; tediously protracted,an extended discussion,s
continued,without stop or interruption,the continued existence of nationalism,a
undeviating,used of values and principles; not subject to change; steady,undeviating loyalty,s
next,(of elected officers) elected but not yet serving,our next president,s
candied,encrusted with sugar or syrup,candied grapefruit peel,s
higher,advanced in complexity or elaboration,higher finance,s
felicitously,in a felicitous manner,a not felicitously chosen word,r
important,having authority or ascendancy or influence,an important official,s
day,time for Earth to make a complete rotation on its axis,"there are 30,000 passengers per day",n
steamy,filled with steam or emitting moisture in the form of vapor or mist,steamy towels,s
